2,14,False,True,False,18
(-12.2, 1.5, 1.0)
Enemy,EnemyOne(-110.9, 1.5, 44.1)
Enemy,EnemyOne(-110.9, 1.5, 44.1)
Enemy,EnemyOne(-64.1, 1.5, 2.3)
Enemy,EnemyOne(-64.1, 1.5, 2.3)
Enemy,EnemyOne(86.8, 1.5, -35.4)
Enemy,EnemyOne(86.8, 1.5, -35.4)
Enemy,EnemyOne(-92.7, 1.5, -45.8)
Enemy,EnemyOne(-92.7, 1.5, -45.8)
Enemy,EnemyOne(-103.0, 1.5, -121.3)
Enemy,EnemyOne(-103.0, 1.5, -121.3)
Enemy,EnemyTwo(-26.0, -0.3, 1.3)
Enemy,EnemyOne(30.2, 1.5, -7.4)
Enemy,EnemyOne(30.2, 1.5, -7.4)
Enemy,EnemyOne(-31.9, 1.5, 14.6)
Enemy,EnemyOne(-31.9, 1.5, 14.6)
Enemy,EnemyTwo(8.6, -1.0, 2.9)
Enemy,EnemyTwo(-38.4, 1.5, 39.4)
Enemy,EnemyThree(-9.2, 1.5, 27.1)
Enemy,EnemyThree(-117.2, 1.5, 8.4)
Enemy,EnemyThree(-6.3, 1.5, -28.0)
Enemy,EnemyThree(-79.6, 1.5, 29.2)
Enemy,EnemyThree(120.3, 1.5, 118.2)
Enemy,EnemyOne(-27.3, 1.5, 17.3)
Enemy,EnemyOne(-27.3, 1.5, 17.3)
Enemy,EnemyThree(-98.8, 1.5, 72.8)
Enemy,EnemyThree(14.5, 1.5, -69.2)
Enemy,EnemyThree(64.2, 1.5, -116.2)
Enemy,EnemyTwo(-8.4, -0.9, 4.8)
Enemy,EnemyOne(-21.7, 1.5, 31.2)
Enemy,EnemyOne(-21.7, 1.5, 31.2)
Enemy,EnemyThree(76.7, 1.5, -9.4)
Untagged,Enemies(0.0, 0.0, 0.0)
plant,bush04(Clone)(-32.0, 0.0, 165.0)
plant,bush02(Clone)(-177.0, 0.0, 190.0)
plant,tree02(Clone)(67.0, 0.0, -140.0)
plant,bush03(Clone)(-162.0, 0.0, -10.0)
plant,tree01(Clone)(-133.0, 0.0, -32.0)
plant,tree04(Clone)(-98.0, 0.0, 53.0)
plant,tree01(Clone)(91.0, 0.0, -96.0)
plant,bush03(Clone)(153.0, 0.0, -198.0)
plant,tree02(Clone)(130.0, 0.0, 124.0)
plant,tree02(Clone)(-24.0, 0.0, -138.0)
plant,bush06(Clone)(1.0, 0.0, 66.0)
plant,tree02(Clone)(116.0, 0.0, 128.0)
plant,bush02(Clone)(118.0, 0.0, 97.0)
plant,tree01(Clone)(-149.0, 0.0, -89.0)
plant,bush02(Clone)(-36.0, 0.0, -24.0)
plant,tree01(Clone)(167.0, 0.0, -136.0)
plant,tree04(Clone)(183.0, 0.0, 5.0)
plant,bush03(Clone)(-79.0, 0.0, -176.0)
plant,bush04(Clone)(67.0, 0.0, -197.0)
plant,tree02(Clone)(90.0, 0.0, 82.0)
plant,tree03(Clone)(195.0, 0.0, 176.0)
plant,tree04(Clone)(-142.0, 0.0, 125.0)
plant,bush01(Clone)(-192.0, 0.0, 100.0)
plant,bush03(Clone)(-191.0, 0.0, -162.0)
plant,bush03(Clone)(-155.0, 0.0, 127.0)
plant,bush04(Clone)(-194.0, 0.0, -15.0)
plant,tree01(Clone)(146.0, 0.0, -185.0)
plant,bush01(Clone)(45.0, 0.0, -157.0)
plant,bush03(Clone)(-36.0, 0.0, 79.0)
plant,bush04(Clone)(-55.0, 0.0, 90.0)
plant,bush01(Clone)(-118.0, 0.0, -66.0)
plant,tree01(Clone)(152.0, 0.0, 160.0)
plant,bush01(Clone)(81.0, 0.0, 85.0)
plant,bush05(Clone)(-117.0, 0.0, -85.0)
plant,bush03(Clone)(29.0, 0.0, 38.0)
plant,tree01(Clone)(12.0, 0.0, 183.0)
plant,bush03(Clone)(-22.0, 0.0, -25.0)
plant,tree03(Clone)(24.0, 0.0, 135.0)
plant,bush01(Clone)(173.0, 0.0, -143.0)
plant,tree03(Clone)(-59.0, 0.0, 100.0)
plant,bush01(Clone)(78.0, 0.0, -165.0)
plant,tree01(Clone)(-127.0, 0.0, -50.0)
plant,bush05(Clone)(-30.0, 0.0, -90.0)
plant,tree03(Clone)(55.0, 0.0, 71.0)
plant,bush04(Clone)(99.0, 0.0, -190.0)
plant,bush06(Clone)(0.0, 0.0, 98.0)
plant,bush05(Clone)(-51.0, 0.0, 79.0)
plant,tree02(Clone)(-135.0, 0.0, 166.0)
plant,bush02(Clone)(153.0, 0.0, 4.0)
plant,bush01(Clone)(157.0, 0.0, 23.0)
plant,tree03(Clone)(-84.0, 0.0, -42.0)
plant,tree01(Clone)(25.0, 0.0, 114.0)
plant,bush05(Clone)(-74.0, 0.0, -59.0)
plant,bush05(Clone)(105.0, 0.0, -32.0)
plant,bush02(Clone)(181.0, 0.0, 41.0)
plant,bush06(Clone)(-24.0, 0.0, -146.0)
plant,bush04(Clone)(-180.0, 0.0, -136.0)
plant,bush02(Clone)(56.0, 0.0, -126.0)
plant,bush01(Clone)(123.0, 0.0, -152.0)
plant,bush04(Clone)(38.0, 0.0, 16.0)
plant,bush06(Clone)(119.0, 0.0, -99.0)
plant,bush05(Clone)(-155.0, 0.0, -5.0)
plant,tree01(Clone)(-58.0, 0.0, 38.0)
plant,bush04(Clone)(-93.0, 0.0, 150.0)
plant,tree01(Clone)(-128.0, 0.0, 193.0)
plant,bush04(Clone)(81.0, 0.0, -147.0)
plant,tree01(Clone)(102.0, 0.0, 33.0)
plant,bush06(Clone)(-141.0, 0.0, -23.0)
plant,bush01(Clone)(-132.0, 0.0, 160.0)
plant,tree01(Clone)(137.0, 0.0, 149.0)
plant,tree02(Clone)(174.0, 0.0, -45.0)
plant,bush05(Clone)(157.0, 0.0, 173.0)
plant,bush05(Clone)(12.0, 0.0, -120.0)
plant,tree02(Clone)(144.0, 0.0, -131.0)
plant,tree02(Clone)(-39.0, 0.0, 96.0)
plant,bush03(Clone)(41.0, 0.0, 86.0)
plant,bush06(Clone)(101.0, 0.0, 155.0)
plant,tree02(Clone)(184.0, 0.0, -32.0)
plant,bush03(Clone)(77.0, 0.0, -40.0)
plant,tree01(Clone)(46.0, 0.0, 60.0)
plant,bush04(Clone)(11.0, 0.0, -161.0)
plant,bush02(Clone)(173.0, 0.0, 95.0)
plant,bush06(Clone)(74.0, 0.0, -179.0)
plant,bush03(Clone)(-166.0, 0.0, 175.0)
plant,tree04(Clone)(12.0, 0.0, 61.0)
plant,bush04(Clone)(-12.0, 0.0, 38.0)
plant,bush04(Clone)(-115.0, 0.0, 105.0)
plant,tree04(Clone)(-78.0, 0.0, -18.0)
plant,bush06(Clone)(15.0, 0.0, -78.0)
plant,bush02(Clone)(-151.0, 0.0, -21.0)
plant,bush01(Clone)(152.0, 0.0, 183.0)
plant,bush02(Clone)(-62.0, 0.0, -183.0)
plant,bush04(Clone)(-133.0, 0.0, -182.0)
plant,bush06(Clone)(-63.0, 0.0, -191.0)
plant,tree02(Clone)(10.0, 0.0, -85.0)
plant,tree03(Clone)(-74.0, 0.0, 54.0)
plant,bush02(Clone)(36.0, 0.0, 26.0)
plant,bush05(Clone)(58.0, 0.0, -31.0)
plant,bush01(Clone)(-60.0, 0.0, -105.0)
plant,bush04(Clone)(195.0, 0.0, -50.0)
plant,bush06(Clone)(154.0, 0.0, 33.0)
plant,tree02(Clone)(-116.0, 0.0, 43.0)
plant,bush02(Clone)(-162.0, 0.0, -179.0)
plant,bush05(Clone)(-130.0, 0.0, 98.0)
plant,tree04(Clone)(127.0, 0.0, -100.0)
plant,bush02(Clone)(118.0, 0.0, -174.0)
plant,bush03(Clone)(78.0, 0.0, -91.0)
plant,bush05(Clone)(-139.0, 0.0, -155.0)
plant,tree03(Clone)(153.0, 0.0, -76.0)
plant,bush04(Clone)(137.0, 0.0, 119.0)
plant,bush01(Clone)(137.0, 0.0, 162.0)
plant,tree01(Clone)(69.0, 0.0, 146.0)
plant,tree03(Clone)(-162.0, 0.0, 4.0)
plant,tree03(Clone)(135.0, 0.0, -142.0)
plant,bush04(Clone)(93.0, 0.0, 52.0)
plant,bush06(Clone)(-42.0, 0.0, 79.0)
plant,tree01(Clone)(-54.0, 0.0, 17.0)
plant,tree03(Clone)(-70.0, 0.0, 146.0)
plant,bush04(Clone)(92.0, 0.0, 152.0)
plant,bush02(Clone)(-93.0, 0.0, 199.0)
plant,tree04(Clone)(72.0, 0.0, -8.0)
plant,bush05(Clone)(65.0, 0.0, 65.0)
plant,tree02(Clone)(185.0, 0.0, -134.0)
plant,tree03(Clone)(-133.0, 0.0, -37.0)
plant,bush05(Clone)(186.0, 0.0, -151.0)
plant,bush04(Clone)(148.0, 0.0, -69.0)
plant,bush04(Clone)(-91.0, 0.0, -149.0)
plant,bush04(Clone)(-140.0, 0.0, -124.0)
plant,bush02(Clone)(116.0, 0.0, -38.0)
plant,bush03(Clone)(-192.0, 0.0, -83.0)
plant,bush03(Clone)(-46.0, 0.0, -10.0)
plant,tree02(Clone)(17.0, 0.0, -194.0)
plant,bush01(Clone)(-66.0, 0.0, -3.0)
plant,bush02(Clone)(-180.0, 0.0, -186.0)
plant,tree01(Clone)(66.0, 0.0, 178.0)
plant,bush03(Clone)(-100.0, 0.0, 197.0)
plant,tree02(Clone)(27.0, 0.0, 146.0)
plant,tree04(Clone)(192.0, 0.0, -200.0)
plant,tree01(Clone)(37.0, 0.0, 46.0)
plant,tree02(Clone)(-120.0, 0.0, 174.0)
plant,tree02(Clone)(129.0, 0.0, -142.0)
plant,tree04(Clone)(77.0, 0.0, 144.0)
plant,bush06(Clone)(69.0, 0.0, -162.0)
plant,bush02(Clone)(-113.0, 0.0, -119.0)
plant,bush06(Clone)(187.0, 0.0, -6.0)
plant,tree03(Clone)(-19.0, 0.0, -108.0)
plant,tree01(Clone)(-39.0, 0.0, -101.0)
plant,bush01(Clone)(172.0, 0.0, -47.0)
plant,tree03(Clone)(-165.0, 0.0, 187.0)
plant,bush02(Clone)(-72.0, 0.0, -64.0)
plant,tree04(Clone)(-84.0, 0.0, 104.0)
plant,bush06(Clone)(-194.0, 0.0, -53.0)
plant,bush03(Clone)(-13.0, 0.0, -83.0)
plant,bush05(Clone)(18.0, 0.0, 139.0)
plant,bush06(Clone)(-111.0, 0.0, -89.0)
plant,tree03(Clone)(184.0, 0.0, 111.0)
plant,bush01(Clone)(173.0, 0.0, 191.0)
plant,tree03(Clone)(100.0, 0.0, -117.0)
plant,bush05(Clone)(3.0, 0.0, 190.0)
plant,bush04(Clone)(157.0, 0.0, 180.0)
plant,bush06(Clone)(-166.0, 0.0, -84.0)
plant,tree01(Clone)(-61.0, 0.0, -173.0)
plant,bush04(Clone)(-32.0, 0.0, -168.0)
plant,tree03(Clone)(79.0, 0.0, -145.0)
plant,bush06(Clone)(-54.0, 0.0, 80.0)
plant,bush05(Clone)(77.0, 0.0, -143.0)
plant,bush05(Clone)(174.0, 0.0, -26.0)
plant,tree03(Clone)(39.0, 0.0, -160.0)
plant,bush01(Clone)(-41.0, 0.0, -87.0)
plant,tree01(Clone)(-88.0, 0.0, -16.0)
plant,bush01(Clone)(171.0, 0.0, -12.0)
plant,bush05(Clone)(-158.0, 0.0, 41.0)
plant,tree01(Clone)(167.0, 0.0, 132.0)
plant,bush01(Clone)(66.0, 0.0, -51.0)
plant,tree03(Clone)(-36.0, 0.0, 88.0)
plant,bush02(Clone)(-18.0, 0.0, 173.0)
plant,bush02(Clone)(69.0, 0.0, -96.0)
plant,bush05(Clone)(125.0, 0.0, 71.0)
plant,bush06(Clone)(-170.0, 0.0, -160.0)
plant,tree01(Clone)(1.0, 0.0, 144.0)
plant,bush04(Clone)(28.0, 0.0, -189.0)
plant,tree04(Clone)(-22.0, 0.0, -160.0)
plant,bush01(Clone)(-43.0, 0.0, -49.0)
plant,bush01(Clone)(161.0, 0.0, -15.0)
plant,tree01(Clone)(24.0, 0.0, -184.0)
plant,bush02(Clone)(-76.0, 0.0, -170.0)
plant,bush05(Clone)(-200.0, 0.0, 113.0)
plant,tree04(Clone)(-132.0, 0.0, -139.0)
plant,bush06(Clone)(-146.0, 0.0, -61.0)
plant,bush02(Clone)(20.0, 0.0, 149.0)
plant,bush03(Clone)(98.0, 0.0, -43.0)
plant,bush06(Clone)(-51.0, 0.0, -186.0)
plant,bush01(Clone)(-135.0, 0.0, -93.0)
plant,bush06(Clone)(-81.0, 0.0, 9.0)
plant,tree02(Clone)(-69.0, 0.0, 190.0)
plant,bush04(Clone)(-97.0, 0.0, -108.0)
plant,tree02(Clone)(192.0, 0.0, -135.0)
plant,bush06(Clone)(7.0, 0.0, -170.0)
plant,bush06(Clone)(190.0, 0.0, 164.0)
plant,tree04(Clone)(188.0, 0.0, -163.0)
plant,tree04(Clone)(180.0, 0.0, -198.0)
plant,bush06(Clone)(3.0, 0.0, 4.0)
plant,bush02(Clone)(119.0, 0.0, -109.0)
plant,tree04(Clone)(76.0, 0.0, -130.0)
plant,tree02(Clone)(-124.0, 0.0, -24.0)
plant,bush01(Clone)(-198.0, 0.0, -143.0)
plant,bush06(Clone)(15.0, 0.0, 193.0)
plant,bush04(Clone)(-101.0, 0.0, 37.0)
plant,bush05(Clone)(97.0, 0.0, 69.0)
plant,bush01(Clone)(59.0, 0.0, 73.0)
plant,tree02(Clone)(42.0, 0.0, 159.0)
plant,bush01(Clone)(-31.0, 0.0, 121.0)
plant,bush02(Clone)(170.0, 0.0, 131.0)
plant,bush02(Clone)(101.0, 0.0, -52.0)
plant,tree04(Clone)(-45.0, 0.0, -55.0)
plant,tree04(Clone)(-186.0, 0.0, 175.0)
plant,bush02(Clone)(-164.0, 0.0, -114.0)
plant,bush01(Clone)(-184.0, 0.0, 119.0)
plant,bush01(Clone)(-156.0, 0.0, 110.0)
plant,tree04(Clone)(33.0, 0.0, -61.0)
plant,bush04(Clone)(-19.0, 0.0, -77.0)
plant,tree04(Clone)(-157.0, 0.0, 126.0)
plant,bush04(Clone)(-33.0, 0.0, 34.0)
plant,bush06(Clone)(36.0, 0.0, -137.0)
plant,bush05(Clone)(83.0, 0.0, -100.0)
plant,tree03(Clone)(101.0, 0.0, 87.0)
plant,bush03(Clone)(-28.0, 0.0, 68.0)
plant,bush01(Clone)(187.0, 0.0, 146.0)
plant,bush06(Clone)(47.0, 0.0, 168.0)
plant,bush05(Clone)(89.0, 0.0, -146.0)
plant,tree01(Clone)(197.0, 0.0, -93.0)
plant,bush04(Clone)(-81.0, 0.0, 53.0)
plant,bush02(Clone)(194.0, 0.0, 62.0)
plant,tree02(Clone)(135.0, 0.0, 133.0)
plant,tree04(Clone)(170.0, 0.0, 131.0)
plant,bush01(Clone)(65.0, 0.0, 59.0)
plant,bush02(Clone)(42.0, 0.0, -198.0)
plant,tree04(Clone)(-25.0, 0.0, 36.0)
plant,tree01(Clone)(164.0, 0.0, -21.0)
plant,bush01(Clone)(-130.0, 0.0, 61.0)
plant,bush06(Clone)(189.0, 0.0, -135.0)
plant,bush04(Clone)(80.0, 0.0, 15.0)
plant,tree04(Clone)(-156.0, 0.0, 120.0)
plant,tree03(Clone)(73.0, 0.0, 181.0)
plant,bush05(Clone)(89.0, 0.0, -136.0)
plant,bush05(Clone)(-160.0, 0.0, -79.0)
plant,tree02(Clone)(-148.0, 0.0, -154.0)
plant,bush04(Clone)(-161.0, 0.0, -61.0)
plant,tree02(Clone)(154.0, 0.0, -195.0)
plant,tree01(Clone)(167.0, 0.0, -85.0)
plant,tree01(Clone)(-25.0, 0.0, -192.0)
plant,bush03(Clone)(186.0, 0.0, -55.0)
plant,bush03(Clone)(196.0, 0.0, -9.0)
plant,bush06(Clone)(-31.0, 0.0, 50.0)
plant,bush01(Clone)(-30.0, 0.0, -74.0)
plant,bush01(Clone)(-146.0, 0.0, 8.0)
plant,bush02(Clone)(-187.0, 0.0, -133.0)
plant,bush06(Clone)(62.0, 0.0, -157.0)
plant,bush04(Clone)(75.0, 0.0, 196.0)
plant,bush05(Clone)(-148.0, 0.0, 21.0)
plant,bush06(Clone)(-162.0, 0.0, -88.0)
plant,tree01(Clone)(-71.0, 0.0, 43.0)
plant,tree04(Clone)(-131.0, 0.0, 198.0)
plant,tree03(Clone)(-115.0, 0.0, -48.0)
plant,tree01(Clone)(145.0, 0.0, 126.0)
plant,bush06(Clone)(147.0, 0.0, 114.0)
plant,bush04(Clone)(168.0, 0.0, 2.0)
plant,tree04(Clone)(-199.0, 0.0, -32.0)
plant,bush02(Clone)(-42.0, 0.0, 154.0)
plant,bush04(Clone)(-135.0, 0.0, -2.0)
plant,tree02(Clone)(-197.0, 0.0, 85.0)
plant,tree02(Clone)(-158.0, 0.0, 51.0)
plant,tree01(Clone)(95.0, 0.0, 5.0)
plant,bush04(Clone)(3.0, 0.0, -69.0)
plant,tree03(Clone)(27.0, 0.0, -75.0)
plant,tree04(Clone)(-105.0, 0.0, -131.0)
plant,bush02(Clone)(39.0, 0.0, -70.0)
plant,bush03(Clone)(140.0, 0.0, -43.0)
plant,tree04(Clone)(-27.0, 0.0, 191.0)
plant,tree03(Clone)(-111.0, 0.0, -17.0)
plant,bush05(Clone)(-85.0, 0.0, -96.0)
plant,tree04(Clone)(188.0, 0.0, -50.0)
plant,tree01(Clone)(-65.0, 0.0, -121.0)
plant,tree02(Clone)(157.0, 0.0, 85.0)
plant,bush04(Clone)(-71.0, 0.0, 49.0)
plant,bush03(Clone)(15.0, 0.0, -175.0)
plant,tree02(Clone)(103.0, 0.0, 108.0)
plant,bush04(Clone)(78.0, 0.0, 175.0)
plant,bush02(Clone)(-84.0, 0.0, -172.0)
plant,tree04(Clone)(35.0, 0.0, 22.0)
plant,bush06(Clone)(190.0, 0.0, -171.0)
plant,bush05(Clone)(152.0, 0.0, 95.0)
plant,bush06(Clone)(100.0, 0.0, -191.0)
plant,bush05(Clone)(-29.0, 0.0, 165.0)
plant,tree03(Clone)(-11.0, 0.0, -177.0)
plant,tree01(Clone)(-11.0, 0.0, 97.0)
plant,bush01(Clone)(20.0, 0.0, 24.0)
plant,bush04(Clone)(71.0, 0.0, 70.0)
plant,bush04(Clone)(58.0, 0.0, 189.0)
plant,bush01(Clone)(125.0, 0.0, 178.0)
plant,bush03(Clone)(-162.0, 0.0, 15.0)
plant,tree04(Clone)(-156.0, 0.0, 72.0)
plant,tree02(Clone)(-8.0, 0.0, 29.0)
plant,bush01(Clone)(62.0, 0.0, -86.0)
plant,bush02(Clone)(-199.0, 0.0, -56.0)
